Ticker;Bolsa
DESP;NYSE
YPF;NYSE
GGAL;NASDAQ
SUPV;NYSE
BBAR;NYSE
CEPU;NYSE
BMA;NYSE
MELI;NASDAQ
LOMA;NYSE
PAM;NYSE
TGS;NYSE
TEO;NYSE
IRS;NYSE
CRESY;NASDAQ
BIOX;NASDAQ
EDN;NYSE
TS;NYSE
TX;NYSE
VIST;NYSE
ARCO;NYSE
AGRO;NYSE
LMSQF;OTCQB
FSM;NYSE
AUMN;NYSE
GLOB;NYSE
HGLD;OTCPK
EMB;NASDAQ
