Date,AGRO,ARCO,AUMN,BBAR,BIOX,BMA,CEPU,CRESY,DESP,EDN,EMB,FSM,GGAL,GLOB,HGLD,IRS,LMSQF,LOMA,MELI,PAM,SUPV,TEO,TGS,TS,TX,VIST,YPF,^GSPC
2019-01-02 00:00:00+00:00,6.502751350402832,7.337507247924805,5.75,8.43246841430664,10.069999694824219,31.635639190673828,7.655421733856201,10.331406593322754,12.699999809265137,26.719999313354492,80.05371856689453,3.680000066757202,22.402185440063477,54.470001220703125,,13.028583526611328,0.1599999964237213,9.338361740112305,298.010009765625,33.29999923706055,7.842898368835449,12.09095287322998,13.255890846252441,18.743135452270508,20.136350631713867,,13.615568161010742,2510.030029296875
2019-01-03 00:00:00+00:00,6.401434421539307,7.364885330200195,6.75,8.560006141662598,10.069999694824219,31.98899269104004,7.563287734985352,10.331406593322754,12.819999694824219,26.5,80.39266204833984,3.7899999618530273,22.55950355529785,52.099998474121094,,12.61182689666748,0.12319999933242798,9.175880432128906,296.5899963378906,33.40999984741211,7.8890862464904785,11.68028736114502,13.09212589263916,18.528879165649414,19.71426773071289,,13.65526294708252,2447.889892578125
2019-01-04 00:00:00+00:00,6.558016300201416,7.638673305511475,7.0,8.890104293823242,10.069999694824219,33.82063674926758,7.714051246643066,10.580556869506836,13.210000038146973,27.229999542236328,81.00129699707031,3.7799999713897705,24.148427963256836,53.83000183105469,,12.939277648925781,0.12319999933242798,9.663322448730469,315.3299865722656,35.349998474121094,8.221648216247559,11.996184349060059,14.111109733581543,19.343055725097656,20.52204704284668,,14.32016372680664,2531.93994140625
2019-01-07 00:00:00+00:00,6.5948591232299805,7.629546165466309,7.5,9.167683601379395,10.069999694824219,36.063331604003906,7.848062038421631,10.613776206970215,13.270000457763672,27.40999984741211,81.34798431396484,3.700000047683716,24.573184967041016,57.25,,13.15757942199707,0.1151999980211258,9.868561744689941,328.94000244140625,35.810001373291016,8.203171730041504,11.806645393371582,14.293070793151855,19.591590881347656,20.580263137817383,,14.419402122497559,2549.68994140625
2019-01-08 00:00:00+00:00,6.521173477172852,7.611293792724609,7.25,9.227700233459473,10.050000190734863,35.69556427001953,7.856438636779785,10.646997451782227,13.40999984741211,27.81999969482422,81.28632354736328,3.8499999046325684,24.746234893798828,57.38999938964844,,12.91943359375,0.14800000190734863,10.347452163696289,328.489990234375,36.4900016784668,8.240123748779297,12.0277738571167,14.092913627624512,19.77156639099121,20.893190383911133,,14.121685028076172,2574.409912109375
2019-01-09 00:00:00+00:00,6.631701469421387,7.656926155090332,8.5,9.542793273925781,10.09000015258789,36.467159271240234,8.325479507446289,10.754961013793945,13.609999656677246,27.75,81.43272399902344,3.9200000762939453,25.462038040161133,60.83000183105469,,13.673562049865723,0.14800000190734863,10.869101524353027,339.9599914550781,36.959999084472656,8.591160774230957,12.312081336975098,14.302169799804688,20.440044403076172,21.22066879272461,,14.310239791870117,2584.9599609375
2019-01-10 00:00:00+00:00,6.493541240692139,7.729935646057129,8.25,9.737850189208984,10.069999694824219,37.750755310058594,8.375733375549316,10.705131530761719,13.579999923706055,27.530000686645508,81.28632354736328,3.740000009536743,26.30368995666504,61.060001373291016,,13.207193374633789,0.14399999380111694,11.082890510559082,339.5899963378906,35.79999923706055,8.757440567016602,12.730645179748535,14.302169799804688,20.517175674438477,20.951412200927734,,14.349934577941895,2596.639892578125
2019-01-11 00:00:00+00:00,6.60407018661499,7.903335094451904,8.0,9.595309257507324,10.069999694824219,38.34208297729492,8.43436336517334,10.81309700012207,13.899999618530273,27.760000228881836,81.2940444946289,3.7100000381469727,25.556428909301758,60.25,,13.346112251281738,0.14399999380111694,10.90330696105957,344.95001220703125,36.400001525878906,8.914484024047852,12.62007999420166,14.493228912353516,20.345773696899414,20.834972381591797,,14.568260192871094,2596.260009765625
2019-01-14 00:00:00+00:00,6.576437473297119,7.930712699890137,7.5,9.527789115905762,10.050000190734863,38.2194938659668,8.476243019104004,10.937671661376953,13.890000343322754,27.360000610351562,81.20161437988281,3.6700000762939453,25.241790771484375,61.400001525878906,,13.891863822937012,0.14399999380111694,10.775033950805664,339.7699890136719,35.790000915527344,8.692776679992676,12.793824195861816,14.529621124267578,20.148658752441406,20.551156997680664,,14.49879264831543,2582.610107421875
2019-01-15 00:00:00+00:00,6.622491359710693,7.894209384918213,8.0,9.610313415527344,10.057999610900879,38.03920364379883,8.610254287719727,11.004112243652344,13.8100004196167,27.1200008392334,81.47896575927734,3.5199999809265137,25.013675689697266,63.540000915527344,,14.477307319641113,0.14399999380111694,10.817790985107422,350.1000061035156,36.0099983215332,8.66506290435791,12.864901542663574,14.675189018249512,19.960111618041992,20.26006507873535,,14.399554252624512,2610.300048828125
2019-01-16 00:00:00+00:00,6.640912055969238,7.894209384918213,8.0,9.62531852722168,10.057999610900879,36.02006912231445,8.518121719360352,10.96258544921875,14.25,27.6299991607666,81.54827117919922,3.5299999713897705,24.809165954589844,64.8499984741211,,13.792635917663574,0.14399999380111694,10.809239387512207,344.9200134277344,35.91999816894531,8.49878215789795,12.959670066833496,14.766170501708984,20.080095291137695,20.536598205566406,,14.58810806274414,2616.10009765625
